,Item,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Trans Fat,Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein,Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value),Calories_Egg Whites,Calories from Fat_Egg Whites,Total Fat_Egg Whites,Total Fat (% Daily Value)_Egg Whites,Saturated Fat_Egg Whites,Saturated Fat (% Daily Value)_Egg Whites,Trans Fat_Egg Whites,Cholesterol_Egg Whites,Cholesterol (% Daily Value)_Egg Whites,Sodium_Egg Whites,Sodium (% Daily Value)_Egg Whites,Carbohydrates_Egg Whites,Carbohydrates (% Daily Value)_Egg Whites,Dietary Fiber_Egg Whites,Dietary Fiber (% Daily Value)_Egg Whites,Sugars_Egg Whites,Protein_Egg Whites,Vitamin A (% Daily Value)_Egg Whites,Vitamin C (% Daily Value)_Egg Whites,Calcium (% Daily Value)_Egg Whites,Iron (% Daily Value)_Egg Whites
0,Sausage McMuffin with Egg,450,250,28.0,43,10.0,52,0.0,285,95,860,36,30,10,4,17,2,21,15,0,30,15,400,210,23.0,35,8.0,42,0.0,50,16,880,37,30,10,4,17,2,21,6,0,25,10
1,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",460,230,26.0,40,13.0,65,0.0,250,83,1300,54,38,13,2,7,3,19,10,8,15,15,410,180,20.0,32,11.0,56,0.0,35,11,1300,54,36,12,2,7,3,20,2,8,15,10
2,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",520,270,30.0,47,14.0,68,0.0,250,83,1410,59,43,14,3,12,4,19,15,8,20,20,470,220,25.0,38,12.0,59,0.0,35,11,1420,59,42,14,3,12,4,20,6,8,15,15
3,Sausage Biscuit with Egg (Regular Biscuit),510,290,33.0,50,14.0,71,0.0,250,83,1170,49,36,12,2,6,2,18,6,0,10,20,460,250,27.0,42,12.0,62,0.0,35,11,1180,49,34,11,2,6,3,18,0,0,8,15
4,Sausage Biscuit with Egg (Large Biscuit),570,330,37.0,57,15.0,74,0.0,250,83,1280,53,42,14,3,11,3,18,10,0,10,20,520,280,32.0,49,13.0,65,0.0,35,11,1290,54,40,13,3,11,3,18,4,0,8,15
5,"Bacon, Egg & Cheese McGriddles",460,190,21.0,32,9.0,44,0.0,250,84,1250,52,48,16,2,9,15,19,10,10,20,15,400,140,15.0,24,7.0,34,0.0,35,11,1250,52,47,16,2,9,16,20,2,10,15,10
6,"Sausage, Egg & Cheese McGriddles",550,280,31.0,48,12.0,61,0.0,265,89,1320,55,48,16,2,9,15,20,10,0,20,15,500,230,26.0,40,10.0,52,0.0,50,17,1320,55,46,15,2,9,15,21,2,0,20,10
7,"Bacon, Egg & Cheese Bagel",620,280,31.0,48,11.0,56,0.5,275,92,1480,62,57,19,3,11,7,30,20,15,20,20,570,230,25.0,39,9.0,45,0.5,60,20,1480,62,55,18,3,12,8,30,10,15,20,15
8,Big Breakfast (Regular Biscuit),740,430,48.0,73,17.0,87,0.0,555,185,1560,65,51,17,3,12,3,28,15,2,15,25,640,330,37.0,57,14.0,69,0.0,35,12,1590,66,50,17,3,12,3,26,0,2,10,15
9,Big Breakfast (Large Biscuit),800,470,52.0,80,18.0,90,0.0,555,185,1680,70,56,19,4,17,3,28,15,2,15,30,690,370,41.0,63,14.0,72,0.0,35,12,1700,71,55,18,4,17,4,26,4,2,10,15
10,Big Breakfast with Hotcakes (Regular Biscuit),1090,510,56.0,87,19.0,96,0.0,575,192,2150,90,111,37,6,23,17,36,15,2,25,40,990,410,46.0,70,16.0,78,0.0,55,19,2170,91,110,37,6,23,17,35,0,2,25,30
11,Big Breakfast with Hotcakes (Large Biscuit),1150,540,60.0,93,20.0,100,0.0,575,192,2260,94,116,39,7,28,17,36,15,2,30,40,1050,450,50.0,77,16.0,81,0.0,55,19,2290,95,115,38,7,28,18,35,4,2,25,30
